Назва організації,Statement,Напрям діяльності,Опис діяльності організації
Viceroy and Popup,https://linktr.ee/viceroy4ukraine,,Пряма допомога українців грошима
Belkins,https://www.linkedin.com/posts/belkins_russia-victims-kyiv-activity-6904058635819786240-84zu/,,"Belkins - агентство із залучення потенційних клієнтів з найвищим рейтингом, яке забезпечує результати для компаній у більш ніж 50 галузях по всій країні"
Webankieta,https://blog.webankieta.pl/pomoc-ukrainie-darmowe-ankiety/,,"Онлайн ресурс де можна пройти питання, які стосуються допомозі Україні і українцям."
Folderly,https://folderly.com/,,Платформа на основе искусственного интеллекта.
MacPaw,https://www.facebook.com/julia.petryk/posts/10225039391744903,,Генеральний директор компанії розказує про ситуація в Україні.
Bunker DB,https://bunkerdb.com/blog/eventos/bunker-db-stands-with-ukraine/,,"Домога (фінансова) від Bunker DB некомерційним організаціям, які допомгають україні та переселенцям."
OVPN,https://www.ovpn.com/en/blog/standwithukraine,VPN,Провайдер  VPN
LeanIX,https://www.linkedin.com/posts/leanix_bonn-standingwithukraine-activity-6904419865843884032-BwKO/,,Безкоштовно пропонують українським організаціям та підприємствам  продукти LeanIX для підтримки їхньої цифрової інфраструктури та зниження кіберризиків.
Toggl,https://toggl.com/blog/ukraine,Time Tracking,"Це веб-сервіс для відстеження як особистого, так і командного часу. Даний сервіс всім клієнтам надає безкоштовний доступ"
Myphoner,https://www.linkedin.com/feed/update/urn:li:activity:6906922158447337472/,,"Надає допомогу Червоному Хресті, а також можна отримати безкоштовну преміум підписку, для цього потрібн онаписати в службу підтримки"
Resoume,https://www.resoume.com/stand-with-ukraine,,"Допомога в пошуку роботи для біженців які знаходяться в Германії та Європі. 

Безкоштовний доступ до конуструктора резюме на 3 місяці. Для цього необхідно пару кроків: Скопируйте код StandWithUkraine
Зарегистрируйтесь здесь
Перейдите на страницу погашения
Примените код, который вы скопировали туда"
Relokia,https://relokia.com/,,Сервіс для зберігання даних
Storj,https://www.storj.io/blog/ukraine-statement,,"Надали  пожертву до благодійного фонду «Український фонд реагування на надзвичайні ситуації», який підтримує людей в Україні.
 Не стягуватиме плату з наших українських клієнтів до липня 2022 року або до вирішення ситуації.
Подвоєнно ставку виплат українським операторам вузлів, щоб забезпечити додатковий дохід протягом наступних кількох місяців.
Надсилання пожертвування працівників до Українського фонду реагування на надзвичайні ситуації."
Colossyan,https://www.colossyan.com/statement,,"Використовується компаніями для створення навчальних відеороликів, контенту для соціальних мереж, відеороликів про маркетинг та продаж, пояснення та багато іншого."
Splash,https://www.linkedin.com/posts/splashthat-com_stand-up-for-ukraine-activity-6905314034057400320-kk2K/,,"Splash (SplashThat.com) надає безкоштовне кристування організаціям, які підтримують Україну та українців, збирають пожертвування працівників та спрощують участь в організаціях, які змінюють життя українців на краще."
Survicate,https://www.linkedin.com/posts/kamilrejent_slavaukraini-ukraineinvasion-activity-6904116339653636096-Jxs3/,,"Надають додатковий оплачуванний день працівникам ,які допомагають Україні. 25% доходу від нового бізнесу буде віддано на допомогу Україні та українцям"
Gamma,https://www.gammacommunicationsplc.com/news/gamma-to-offer-free-calls-to-ukraine-with-support-package/,,"З 1 березня 2022 року та до подальшого повідомлення Gammaнадає  пакет підтримки для України для всіх наших кінцевих клієнтів. Це включає безкоштовні дзвінки в Україну через наші продукти, включаючи CircleLoop ."
Make,https://www.linkedin.com/posts/itsmakehq_we-are-very-saddened-by-the-events-taking-activity-6904138471577829378-OGac/,Design,"Make- це провідна візуальна платформа для проектування, створення та автоматизації чого завгодно – від завдань та робочих процесів до додатків та систем – без написання коду.Надає безкоштовний доступ для користування"
